"","X","HES3","LIN28A","L1TD1","CA14","F11R","VASH2","MTRNR2L11","MYCN","EPCAM","ADD2","H3F3AP4","LRRN1","TRIM71","TDGF1","MTRNR2L12","DPPA4","RP11.641D5.1","SOX2","ZFP42","ADCY2","SERF1B","MTRNR2L2","SEMA6A","MATR3","PCDH1","SCGB3A2","GABRP","RP11.423H2.1","TUBB2B","GCNT2","POU5F1","LIN28B","PKIB","RPL21P75","PTPRZ1","MTRNR2L6","CNTNAP2","IDO1","TPD52","CALB1","ESRP1","MAL2","FAM84B","HHLA1","FOXH1","CTSV","NR6A1","AIF1L","FGFR2","MTRNR2L8","FABP5P7","FGF23","NANOG","DDX47","KRT8","PMEL","NTS","USP44","CLDN10","ZIC2","ABHD12B","OTX2","VRTN","SNURF","GABRB3","SPINT1","MYEF2","RBPMS2","CRABP1","UBE2Q2P6","CLDN6","ZSCAN10","MTRNR2L4","NPIPA7","PRSS8","CDH3","CDH1","MTRNR2L1","RND2","DSG2","FUT3","AP1M2","SPINT2","CYP2S1","NLRP2","RPL41P1","DNMT3B","WFDC2","SALL4","CXADR","CBS","U2AF1","CECR2","MIF","POLR2F","RP11.706O15.1","MAGED4B","MTRNR2L10","SLC7A3","ZIC3"
"325","HPSI0914i-ouvb_2",126.14,1025.31,310.98,58.96,122.44,146.85,42.82,61.96,330.16,61.48,1070.91,174.74,191.91,357.54,3939.12,537.62,376.13,374.65,131.66,35.98,99.19,190.54,212.6,860.27,71.14,2618.93,1173.79,55.08,375.66,42.65,695.72,88.92,148.54,1459.6,153.6,56.62,117.38,113.71,60.55,685.93,133.02,106.84,103.36,714.9,55.89,113.55,87.71,85.15,99.07,1030.84,101.09,74.14,36.91,84.24,310.53,94.64,62.94,163.69,53.62,169.85,405.33,195.2,52.09,945.96,70.2,77.52,92.19,116.01,153.75,1534.33,563.74,102.67,47.7,148.27,60.05,90.81,194.14,328.29,102.8,120.85,218.71,76.2,200.64,119.39,64.08,4056.23,493.04,42.18,114.3,132.77,196.19,273.98,57,496.1,79.41,149.47,72.18,17.93,78.96,137.76
"326","HPSI0114i-zoxy_3",31.72,471.62,279.19,38.56,104.05,106,50.04,56.64,237.56,93.6,596.23,117.32,141.09,262.78,3682.35,685.28,444.22,211.39,75.61,28,99.13,81.9,133.16,634.83,92.49,590.15,372.04,87.85,335.72,33.03,945.12,57.16,140.37,1178.71,292.49,70.83,37.22,23.34,29.43,372.13,66.13,67.07,54.7,218.82,22.79,90.97,126.26,112.6,46.45,972.7,100.96,1.28,55.29,65.65,156.9,99.87,92.29,163.02,57.63,248.95,214.27,23.6,58.62,639.46,91.71,56.26,121.26,87.56,356.59,741.06,330.13,125.38,24.24,162.8,34.27,51.27,89.42,309.14,109.08,91.79,67.92,5.76,155.52,51.38,61.9200000000001,2870.68,229.87,28.81,62.63,101.32,229.72,239.22,35.25,560.24,94.8,97.34,78.66,27.04,66.51,15.84
"327","HPSI0214i-kehc_2",48.81,809.86,280.52,41.05,139.83,103.73,85.55,55.04,312.29,69.22,672.35,134.28,151.12,792.15,5231.43,604.54,414.96,207.27,131.07,69.75,124.05,262.98,163.75,633.84,46.5,4083.57,2351.14,52.81,489.25,45,978.65,68.36,137.45,1271.64,89.28,137.27,31.74,31.69,64.9,1775.94,107.87,122.2,65.67,1365.43,38.85,69.22,71.53,90.77,57.33,1344.76,142.3,0.81,64.14,67.94,205.56,97.07,53.84,128.19,56.39,111.48,884.16,36.93,56.24,873.77,70.58,79.19,83.33,112.07,142.91,1529.93,451.86,113.87,36.49,135.52,75.45,92.98,102.59,502.89,49.72,109.88,368.76,83.48,192.38,104.47,68.0400000000001,3688.04,402.51,43.68,70.93,105.1,234.69,217.86,38.93,559.24,99.47,70.29,46.3,54.66,187.82,50.22
"328","HPSI0215i-zett_5",134.01,986,282.82,97.01,179.57,81.45,0,65.62,468.08,69.4,700.97,184.83,196.35,488.74,10.22,601.99,259.22,405.43,155.29,44.89,104.43,1.37,237.2,762.2,81.33,2104.74,994.47,63.52,328.05,52.63,872.5,99.15,51.89,1603.65,170.09,0.11,111.27,66.66,65.36,600.38,151.83,127.66,76.61,593.81,71.85,93.62,97.91,92.65,106.22,2.77,102.57,18.82,60.03,79.56,247.37,113.23,68.95,196.13,57.72,294.22,371.72,206.39,62.79,939.02,70.99,104.95,99.73,121.11,188.43,1650.66,578.01,126.36,0.37,144.33,77.53,109.03,289.29,0.87,135.35,132.53,242.25,93.66,204.05,174.5,64.62,5350.55,544.22,47.72,135.87,135.24,201.03,274.9,75.9,537.71,81.7,139.65,86.5,0,72.95,132.94
"329","HPSI1213i-hehd_1",97.58,913.52,408.7,32.11,141.27,160.57,76.8,54.88,418.64,65.62,1046.27,172.5,171.91,683.07,6621.44,656.3,563.04,280.55,122.32,42.01,80.88,321.21,195.52,755.07,47.45,4876.46,2232.27,52.8,422.21,44.69,1029.79,83.08,47.63,1344.22,136.7,92.02,60.65,71.36,72.08,1403.04,137.58,116.95,58.44,1466.02,68.47,112.4,62.18,91.58,78.76,1676.3,146.8,81.45,70.71,86.19,265.6,113.46,20.83,163.73,41.83,109.04,781.61,99.03,59.35,836.66,73.57,82.89,82.28,143.91,130.48,797.65,499.66,115.1,63.53,107.29,60.03,106.7,175.31,543.59,102.08,124.56,505.72,86.83,163.63,134.64,114.84,4228.66,548.49,41.47,105.6,116.03,214.32,270.63,66.24,500.26,83.38,96.81,59.28,25.42,76.18,144.37
"330","HPSI0115i-qecv_1",54.17,719.34,230.81,63.72,130.77,156.86,148.35,40.02,395.12,67.28,1031.15,106.84,82.94,606.89,10089.1,782.78,563.15,167.18,94.97,51.97,79.45,532.1,159.66,600.36,43.93,2184.96,1101.36,59.41,249.77,47.49,1224.43,42.37,194.36,1049.01,130.7,249.46,26.76,133.36,43.09,692.67,114.31,118.32,47.35,650.92,59.96,64.64,55.06,74.12,38.97,2639.23,121.42,79.25,117.75,81.83,254.42,98.27,52.53,129,50.53,156.09,393.18,36.19,35.1,952.13,55.9,92.14,65.71,146.38,176.05,908.1,453.16,107.76,94.19,67.07,78.33,90.68,113.27,999.16,78.81,89.14,182.42,91.49,215.79,119.8,34.83,4471.84,232.2,74.97,57.55,80.98,137.77,233.48,24.43,690.21,99.5,97.82,48.2,166.95,124.65,19.03
"331","HPSI0214i-feec_2",130.14,570.3,396.59,53.05,130.84,250.56,133.81,35.58,337.03,75.34,657.33,70.68,83.83,897.13,14597.4,626.06,415.53,211.54,73.21,41.14,80.58,1499.82,228.36,523.34,40.29,7097.95,3035.42,50.22,441.46,45.47,1619.44,46.43,51.01,1061.58,129.64,315.74,77.49,7.12,55.3,1333.52,139.98,98.09,40.03,2295.97,89.51,74.81,24.83,49.64,60.65,4712.74,107.26,73.55,187.17,61,491.88,50.23,131.41,68.06,22.15,189.9,1145.76,24.97,31.19,739.9,73.55,76.12,77.13,116.4,395.98,1857.32,507.42,151.63,161.35,141.96,75.05,105.2,115.96,1214.68,59.62,70.84,541.9,78.76,167.06,88.29,52.38,4013.35,346.89,49.01,51.22,79.61,202.05,268.77,24.64,706.21,92.4,81.41,62.76,256.87,48.57,58.33
"332","HPSI1013i-yemz_3",79.69,915.59,221.88,63.05,125.57,152.02,46.51,53.41,395.49,62.54,1077.89,170.9,169.58,833.63,3005.61,674.14,477.57,278.71,135.01,52.84,115.95,144.15,141.12,692.81,46.7,1236.17,815.4,62.33,383.17,56.24,910.28,84.97,73.63,1623.34,119.52,50.03,51.63,92.55,59.94,693.34,113.38,142.72,73.56,453.17,54.76,88.27,88.22,114.46,68.51,804.26,126.94,1.07,40.47,79.33,217.72,144.43,122.91,155.26,60.98,211.96,319.15,115.21,66.56,901.65,53.83,77.38,105.42,95.34,191.9,1555.25,473.49,126.54,23.81,126.01,89.16,84.49,140.57,290.71,104.91,107.37,159.4,83.43,208.03,110.25,86.31,4693.01,386.63,45.31,95.03,96.18,266.06,223.83,44.84,602.94,102.17,70.25,66.98,9.71,155.41,72.83
"333","HPSI0115i-qecv_2",40.32,598.87,338.4,51.5,109.7,134.92,219.54,35.56,353.15,67.34,712.99,117.65,96.72,534.61,12674.2,640.24,395.43,169.73,80.08,50.38,99.83,829.33,157.2,607.06,47.22,2005.78,1221.64,44.28,211.53,39.85,1048.1,36.87,150,634.25,183.74,315.49,27.9,145.87,38.87,627.91,115.14,86.19,44.2,745.85,54.93,62.47,57.4,69.36,50.14,3674.12,93.12,81.68,89.99,55.09,194.36,95.17,49.79,109.58,44.7,146.67,394.82,33.57,40.99,724.89,49.89,83.09,84.54,134.54,122.16,660.41,448.62,167.9,96.47,124.67,68.05,104.69,113.73,1399.24,61.37,87.52,172.45,78.41,200.03,106.62,42.57,1058.47,295.6,56.8,70.95,62.7,202.44,237.59,30.86,546.12,91.48,124.95,65.58,128.81,117.19,17.07
"334","HPSI0514i-wiii_3",91.17,743.1,208.38,59.69,166.08,90.62,100.86,56.84,347.46,52.78,1090.43,162.44,100.9,522.35,5759.15,553.54,547.11,242.29,111.46,40.24,89.71,140.35,173.87,602.87,41.1,2048.75,1132.62,102.54,290.69,38.93,784.71,67.25,64.57,1432.16,88.71,100.89,45.83,66.64,54.33,675.54,107.43,107.74,58.72,645.72,43.62,82.59,45.16,80.84,69.49,1050.58,210.66,3.13,52.89,81.99,277.87,117.42,34.95,124.38,54.62,145.13,469.02,104.43,46.12,882.3,45.42,61.69,63.89,101.28,161.5,663.76,551.92,92.3,28.04,119.29,72.15,101.41,161.33,515.49,106.36,111.42,193.89,79.16,212.89,125.38,33.03,4680.93,367.52,51.17,62.21,83.32,184.45,195.4,33.67,741.51,106.57,76.81,47.1,71.01,120.14,87.48
"335","HPSI0914i-jejf_2",61.91,943.24,518.14,50.31,144.3,312.09,73.16,61.22,498.3,80.46,1058.86,153.22,167.06,1088.14,6111.06,795.32,355.99,222.26,134.96,76.17,84.64,290.12,161.08,814.01,62.66,7003.22,3394.15,55.22,509.36,68.22,1158.56,79.08,34.58,1089.87,139.68,126.78,34.72,92.34,91.05,1980.48,161.17,117.09,41.02,2145.34,67.51,109.71,80.49,93.91,54.91,1492.19,219.06,59.3,72.37,81.77,297.12,76.78,29.93,176.77,45.29,49.73,1398.88,33.01,71,860.09,99.38,77.4,84.24,179.47,147.65,551.27,537.09,155.67,65.9,124.55,58.72,97.37,134.34,510.88,60.81,130.63,788.52,85.26,177.18,135.53,127.89,3292.5,573.27,74.99,105.71,114.65,188.29,249.37,63.82,454.41,116.5,133.92,52.26,95.11,174.07,127.86
"336","HPSI1013i-zagm_1",47.38,829.66,305.62,58.7,77.56,80.49,65.3,51.92,278.68,48.28,315.82,142.47,104.11,409.53,5378.36,434.04,543.54,312.27,125.78,32.11,100.93,281.62,141.49,935.31,52.79,1525.42,647.39,48.96,412.36,31.56,678.28,89.03,39.02,1397.07,144.53,109.21,187.94,24.94,42,450.05,115.04,77.29,61.38,441.13,51.99,103.86,79.98,100.41,64.01,1343.55,190.95,76.13,48.2,96.1,323.74,103.69,30.79,119.58,27.86,170.24,276.23,131.86,45.64,704.66,64.76,49.35,107.04,94.31,302.01,760.12,414.03,93.62,51.4,157.61,33.13,55.32,100.4,423.85,90.62,82.16,170.97,58.88,138.27,106.96,52.74,4186.56,395.86,30.43,100.61,122.24,185.29,318.5,51.26,522.92,98.84,146.98,79.76,61.63,70.93,58.19
"337","HPSI0215i-hipn_2",88.89,850.17,378.6,42.81,151.48,161.18,57.72,76.6,386.88,66.36,946.85,193.13,135.97,860.27,4706.95,632.04,277.38,235.4,127.69,83.8,79.19,201.66,183.97,707.59,76.3,4344.71,2356.96,61.12,504.96,49.2,887.66,76.43,79.85,1134.92,108.23,109.15,40.77,52.05,66.21,1637.82,129.64,135.41,80.07,1404.54,66.73,92.61,84.9,106.67,67.52,1178.72,133.42,74.62,73.69,73.17,270.34,90.97,38.4,168.96,64.31,137.53,917.35,55.93,74.71,865.93,92.57,106.81,70.05,185.87,204.92,502.61,706.91,122.66,52.27,140.84,93.29,125.71,156.37,418.26,64.49,131.05,451.64,88.99,202.18,192.88,135.36,2461.93,540.38,78.67,102.92,118.1,249.66,250.04,45.03,422.18,87.63,82.46,74,78.7,223.09,95.55
"338","HPSI0414i-xojn_3",71.17,785.86,430.24,51.7,106.6,182.68,65.11,52.88,383.22,60.34,963.61,110.75,106.42,572.07,6922.88,535.6,331.59,236.75,128.42,39.97,105.13,166.5,107.76,710.74,49.27,2338.87,1215.96,40.41,394.18,44.97,1041.45,58.29,39.71,1259.42,156.32,97.43,40.85,24.78,57.73,888.14,122.61,113.28,54.98,758.46,60.9,81.85,77,83.82,61.98,1888.03,65.07,61.26,46.19,77.38,305.68,80.04,108.95,129.01,43.65,153.6,507.83,93.07,52.25,964.43,60.27,76.32,71.67,144.36,186.53,0.47,520.58,128.21,66.89,132.72,64.57,110.58,133.56,635.71,94.64,91.37,202.57,94.87,181.14,141.26,48.24,4486.69,391.84,92.16,82.34,90.63,190.61,309.04,33.75,458.12,105.33,102.69,57.08,249.88,85.78,46.81
"339","HPSI0115i-qoog_4",77.23,889.44,354.16,34.27,128.59,109.57,66.68,50.88,315.6,72.98,723.81,155.46,163.86,638.96,5242.84,710.2,350,277.52,141.38,65.33,66.87,259.71,164.14,840.66,57.93,2634.83,1202.99,55.78,319.05,40.29,870.69,93.59,65.84,1592.19,159.61,123.71,63.83,63.24,57.19,828.25,142.9,132.38,62.54,747.31,51.31,69.42,95.7,99.2,70.94,1451.28,100.65,75.44,86.77,71.59,198.75,97.1,47.08,170.4,53.46,220.12,429.06,124.65,62.59,784.63,72.48,76.2,119.71,114.93,172.98,1.17,407.39,143.13,59.68,130.42,59.27,101.51,167.98,434.71,86.62,116.57,267.1,83.18,165.27,114.05,94.5,4439.51,406.08,40.25,95.41,115.49,230.28,253.14,52.63,510.1,70.8,117.76,59.14,75.45,96.79,61.9
"340","HPSI0114i-lexy_1",83.13,634.57,360.69,63.61,131.32,95.59,44.67,75.56,366.89,79.92,870.8,195.13,111.02,680.45,3172.52,591.54,408.4,227.05,108.65,44.23,134.32,189,88.39,548.91,73.09,2118.49,1224.11,80.51,308.6,37.35,1225.23,68.3,63.21,1018.28,108.45,68.16,28.68,33.47,42.47,988.89,109.1,101.89,64.4,710.52,51.11,61.42,78.27,113.7,51.06,864.67,134.08,1.1,66.72,76.9,297.87,89.73,199.21,126.76,56.74,162.75,614.95,60.28,84.88,953.17,65.49,70.8,82.76,116.55,288.54,680.21,538.09,176.4,29.24,152.83,109.54,108.53,126.99,297.69,87.17,96.77,218.78,87.28,280.97,129.35,50.85,2796.32,375.48,46.27,77.64,74.26,283.73,239.62,37.82,735.5,116.09,177.99,66.28,33.41,148.3,88.69
"341","HPSI0114i-rozh_5",86.71,675.04,250.18,65.65,131.95,96.19,50.83,54.84,356.18,65.32,596.67,122.68,92.9,535.24,3721.64,543.32,353.02,198.42,115.75,53.36,75.24,83.12,113.82,600.39,56.32,1451.58,833.7,66.8,422.52,32.13,1163.72,53.06,20.89,965.14,117.1,74.69,40.72,53.19,43.16,724.45,90.14,84.25,39.88,517.04,48.95,77.71,68.25,106.84,45.33,932.75,162.05,0.97,48.09,87.12,325.8,91.28,147.13,104.14,47.63,88.34,414.73,76.01,79.56,935.11,66.17,89.8,64.91,115.55,196.22,1510.06,613.18,145.35,27.8,87.38,81.79,93.56,128.22,336.99,115.58,93.53,184.87,90.59,253.85,116.72,37.44,3066.51,410.37,89.74,64.72,68.16,253.38,256.13,35.09,792.42,143.75,80.4,54.82,39.42,150.77,97.74
"342","HPSI0115i-rakq_3",41.27,748.39,280.07,64.12,113.91,68.96,62.87,49.5,244.61,74.62,714.92,159.39,115.17,565.8,4364.26,523.48,574.72,279.39,95.41,27.41,93.59,223.46,122.61,811.65,48.32,930.01,485.48,64.07,400.71,34.67,745.31,92.49,38.23,1289.58,158.71,58.63,167.37,34.28,43.59,348.08,87.3,84.12,50.98,277.96,39.14,80.98,102.73,112.93,58.2,1046.26,167.33,23.57,41.7,85.63,266.2,90.64,46.54,123.27,44.54,173.28,199.48,161.76,50.87,740.48,71.11,48.1,110.15,104.18,234.51,1299.11,373.04,83.2,34.34,123.11,40.71,53.03,99.1,441.28,90.17,98.82,130.11,45.81,136.62,68.03,10.53,4408.52,333.86,27.51,85.06,124.56,181.32,220.27,49.2,659.12,92.01,57.71,68.32,19.62,90.93,51.99
"343","HPSI1014i-tuju_4",103.26,978.88,358.63,70.75,149.08,150.91,58.64,71.95,409.81,59.16,1139.68,197.59,163.31,733.1,4671.76,661.99,377.33,296.12,133.37,35.23,87.19,223.3,171.08,769.67,66.61,5340.62,2650.05,90.05,435.13,49.48,847.39,96.26,52.78,1269.25,142.01,60.86,68.47,62.05,67.94,1578.17,135.68,122.47,68.94,1387.45,56.8,74.33,100.36,106.55,66.6,1160.14,162.92,62.61,41.8,77.41,308.76,110.33,45.45,166.67,55.12,169.12,1051.99,122.62,71.52,859.73,78.37,80.15,87.05,135.29,189.18,0.81,635.07,122.38,49.66,141.33,80.01,110.37,179.92,422.84,99.95,132.37,426.93,91.1,195.76,168.93,132.93,4023.09,508.46,54.08,113.14,137.92,225.82,229.81,50.87,520.09,103.94,106.07,67.44,29.39,117.16,151.81
"344","HPSI0514i-kuco_1",111.74,1005.31,341.38,54.45,140.38,87.56,55.19,65.61,382.24,53.26,1038.43,150.88,151.63,620.55,5172.56,618.4,371.45,301.59,134.73,48.16,90.95,475.03,214.83,806.2,57.56,4428.8,1993.96,47.63,410.36,42.93,722.29,89.58,99.44,1342.88,133.81,99.14,78.44,33.36,76.25,1259.88,135.2,121.29,83.87,1183.54,59.03,82.97,79.9,89.2,76.12,1567.74,134.99,56.18,59.46,80.99,327.39,92.04,136.96,153.8,39.44,148.56,903.08,136.44,56.92,702.56,67.85,79.07,94.14,134.63,146.7,1596.01,516.08,108.54,53.03,131.4,64.95,97.83,165.18,407.02,88.32,119.26,343.37,84.62,181.53,142.52,91.98,4290.52,438.31,48.29,102.31,116.95,180.61,228.16,53.68,506.89,97.79,174.25,59.72,76.54,93.9,106.41
"345","HPSI0715i-meue_4",93.24,942.86,296.83,61.77,164.96,132.94,83.99,53.93,448.31,64.14,923.17,179.88,160.32,847.9,6954.09,656.1,349.78,289.97,124.02,76.52,83.34,428.46,159.96,780.03,72,2040.28,990.54,24.4,308.6,61.96,931.47,91.3,117.41,1499.18,157.07,148.71,42.69,47.93,66.5,699.06,150.1,122.21,62.57,594.62,75.36,84.29,87.64,83.57,74.02,1919.19,80.07,76.05,47.74,76.4,261.92,93.13,59.47,164.17,46.58,204.75,379.15,97.63,59.96,839.67,74.06,86.7,82.92,105.02,154.93,1682.79,485.84,113.33,80.69,131.85,80.2,113.56,216.22,569.37,90.02,138.37,183.14,104.81,192.48,165.7,45.09,4560.02,431.25,39.87,97.34,135.12,178.1,241.26,52.26,546.37,71.34,104.69,65.56,111.65,149.67,73.79
"346","HPSI0514i-fiaj_1",69.13,729.75,345.78,45.25,169.7,188.12,102.4,39.29,344.94,88.14,949,87.96,109.81,495.87,8015.33,781.1,577.77,164.26,117.26,64.32,72.59,398.42,198.79,663.11,43.16,5702.88,2294.82,61.35,472.13,53.46,1341.57,64.6,41.68,1315.48,140.07,170.06,49.54,13.77,69.11,1258.3,165.65,93.25,49.91,1829.57,65.4,74.5,54.25,64.86,55.71,1918.69,126.6,80.07,185.04,69.76,472.22,63.92,41.29,102.94,33.05,166.76,1135.29,12.75,35.98,535.5,91.29,88.39,90.42,134.36,323.79,854.76,556.82,114.7,72.59,103.38,65.57,101.21,150.8,679.58,51.6,89.77,422,77.47,196.23,83.28,96.21,4266.65,364.2,42.48,55.54,95.24,157.97,218.07,30.17,619.57,103.5,47.24,47.28,107.03,74.47,54.04
"347","HPSI1014i-kefb_1",133.73,820.61,369.24,58.58,116.43,121.37,40.34,77.18,314.23,82.36,991.98,132.63,148.31,519.06,4581.05,495.39,283.25,280.15,131.35,29.6,98.91,208.58,155.82,639.27,83.36,964.63,470.59,41.57,421.11,46.19,929.65,72.09,27.71,1500.3,109.89,91.22,73.8,29.7,43.61,337.34,104.19,109.36,53.57,286.29,56.75,77.85,113.53,98.43,62.85,1323.64,83.56,67.26,40.77,77.67,321.33,111.47,51.39,160.93,61.19,259.93,173.77,176.37,69.53,747.81,60.88,77.27,68.7,138.58,270.67,973.08,503.2,106.5,47.15,125.77,79.98,99.78,164.51,364.3,129.42,106.63,142.13,84.22,175.67,118.43,31.68,5190.81,421.42,80.42,105.96,116.8,223.67,264.22,54.2,669.18,97.99,37.51,81.56,84.19,83.96,33.63
"348","HPSI0314i-sojd_2",104.9,801.6,281.1,58.02,168.22,140.16,67.62,63.52,252.05,72.92,293.28,154.31,152.66,417.42,4137.18,599.31,528.87,250.38,104.51,59,91.86,308.2,143.14,621.97,79.17,1963.13,1114.33,88.9,318.32,41.11,994.02,68.1,113.57,1042.65,183.94,113.65,44.17,43.62,60.43,889.04,113.84,91.73,52.68,655.34,67.31,74.17,81.57,98.04,76.52,1217.8,88.05,4.75,34.66,72.79,235.95,134.93,49.45,113.97,53.74,257.91,523.74,87.84,68.05,885.68,57.33,92.86,91.39,119.77,201.22,1257.22,626.95,162.39,40.98,176.44,96.91,120.41,180.72,412.13,93.08,117.78,262.77,105.75,249.22,129.65,35.82,2266.37,404.66,57.97,82.25,81.32,317.5,250.68,48.96,744.08,98.86,98.24,65.38,38.72,129.17,64.06
"349","HPSI1113i-podx_2",22.18,472.28,119.76,59.33,89.23,74.27,99.36,33.77,374.1,66.72,761.37,46.94,62.74,419.59,3120.03,375.55,536.56,94.26,35.3,21.23,86.58,133.37,90.83,306.4,53.92,775.81,464,52.47,472.85,34.1,1631.37,17.95,53.81,870.81,69.41,115.39,11.97,64.41,27.39,777.62,83.68,69.26,65.43,949.6,55.61,65.64,62.3,104.06,24.75,923.54,76.77,0.98,45.35,65.31,384.1,91.74,27.73,48.85,50.58,110.79,696.87,20.43,49.84,1113.3,30.68,122,20.07,138.51,384.03,1928.07,531.09,103,32.22,89.77,114.89,76.72,71.06,463.17,112.71,33.05,61.87,81.03,347.6,101.47,39.24,3288.88,117.99,96.32,26.57,36.09,182.13,274.03,9.91,1312.36,156.66,86.51,59.04,66.74,163.32,29.79
"350","HPSI1113i-qorq_1",65.41,806.49,213.56,46.18,120.58,174.25,86.05,47.11,309.7,57.8,536.76,140.42,168.53,369.07,5045.45,551.67,465.07,205.29,104.11,52.03,84.39,223.22,175.23,656.25,44.74,1117.11,699.2,63.9,339.2,47.37,775.08,60.81,12.8,1329.05,149.65,78.03,55.62,99.66,48.67,643.64,103.66,89.72,82.42,421.82,49.48,76.05,69.25,97.74,58.45,1287.37,90.46,0.9,33.69,68.41,235.07,124.43,35.37,114.65,44.66,162.66,286.91,76.44,49.69,694.34,59.03,71.35,111.24,107.1,155.15,1456.39,394.2,120.8,40.94,154.59,69.4,90.91,136.04,491.05,87.22,84.92,130.14,79.4,192.19,102.63,57.24,4400.26,323.88,49.98,77.93,79.92,212.56,242.05,39.56,491.45,101.08,64.26,56.94,18.07,107.6,36.6
"351","HPSI1013i-hiaf_1",61.28,1061.73,273.55,55.75,175.04,166.84,149.49,64.88,304.12,76.72,562,154.41,182.59,476.82,8911.5,662.7,458.44,234.16,130.56,71.27,60.91,183.48,226.65,699.27,69.49,1705.77,881.23,36.65,339.52,52.47,847.64,81.99,119.62,1094.12,125.35,204.94,37.17,44.64,59.39,665.79,135.34,112.05,86.76,590.69,62.92,86.1,88.87,93.75,65.58,2410.97,115.12,30.76,56.85,69.8,248.03,118.99,61.62,163.56,51.49,180.89,395.49,93.11,60.14,784.81,70,87.27,82.57,138.69,158.3,771.36,466.42,119.82,52.17,131.58,74.56,105.55,161.18,1316.83,90.41,106.83,145.2,92.1,199.18,155.69,65.16,2723.2,438.3,43.02,81.84,117.92,226.7,201.58,51.7,555.73,93.87,68.24,66.52,98.21,160.99,64.16
"352","HPSI0215i-uiao_2",61.16,608.25,309.35,75.43,208.64,69.16,176.68,42.3,547.28,66.06,644.56,165.69,96.84,962.25,12210.9,559.93,330.96,150.13,85.51,56.37,69.31,714.14,269.07,483.16,81.08,4465.49,2164.9,33.75,262.19,59.34,813.06,41.98,61.2,672.1,205.36,268.09,29.72,76.14,42.4,1235.83,100.41,93.08,29.11,1235.56,71.21,85.19,64.85,76.68,56.11,3202.55,148.11,18.73,68.37,54.54,222.18,134.78,145.7,112.72,72.37,132.75,809.63,31.39,48.23,792.93,75.48,151.82,50.49,127.13,132.34,573,769.22,136.02,119.99,125.22,112.45,188.74,199.96,1137.2,57.19,135.93,347.62,79.36,315.79,215.13,90.45,3568.4,336.37,94.14,71.18,83.13,228.3,174.76,35.24,478,83.66,106.81,74.68,208.37,271.92,32.08
"353","HPSI0114i-joxm_1",107.38,658.85,259.09,72.1,161.5,104.61,28.84,57.96,334.97,63.98,549.42,203.69,127.47,730.34,3692.08,740.07,230.65,290.69,84.11,64,147.37,155.32,123.22,521.89,78.52,2666.56,1495.13,70.96,330.88,51.89,1200.13,80.13,47.93,822.62,161.08,89.51,29.41,23.44,39.46,1058.35,115.02,92.11,50.32,763.99,60.73,93.42,84.73,114.62,65.8,1096.49,42.71,1.66,72.41,63.71,327.96,134.64,138.12,122.05,54.65,199.54,735.68,60.95,85.71,839.83,64.49,105.18,95.82,107.65,262.39,692.87,528.04,172.96,44.92,180.54,116.21,134.53,148.94,344.31,148.8,97.66,278.78,93.04,269.37,104.45,104.31,1219.86,513.3,67.4,79.67,79.94,261.24,220.84,42.46,695.26,108.66,94.38,76.9,83.1,102.17,111.16
"354","HPSI0115i-aion_2",80.62,1004.56,221.8,53.42,143.41,152.23,92.87,49.71,466.94,46.46,1135.53,142.87,164.13,844.64,6601.6,681.92,576.36,269.75,130.67,46.29,86.47,171.87,194.16,639.68,51.4,3585.28,1477.17,25.94,419.75,53.96,958.61,70.9,64.8,1593.4,85.39,143.39,29.84,56.28,61.84,1004.94,146.15,129.03,98.71,1015.58,70.69,111.91,55,80.12,67.34,1881.2,117.99,92.57,77.88,71.06,255.79,100.31,43.7,140.99,49.38,139.59,723.81,78.61,55.75,905.45,55.11,90.22,81.52,112.34,156.14,975.54,497.6,125.23,67.24,114.19,86.9,108.9,129.39,616.53,91.97,101.32,255.3,94.05,215.44,143.5,56.97,4507.55,489.78,44.62,82.81,94.07,221.41,231.55,35.91,532.58,84.76,63.87,65.2,107.6,163.28,56.32
"355","HPSI1114i-yair_2",67.81,836.16,258.51,54.51,123.8,87.11,65.77,47.47,293.28,76.46,944.23,170.24,136.48,739.71,4897.06,526.58,275.33,240.42,134.04,62.32,100.4,246.48,162.26,692.01,47.03,2801.46,1224.48,47.99,332.48,47.58,870.81,105.4,79.96,1111.49,84.76,116.18,85.06,63.03,59.12,782.57,112.6,124.64,50.08,714.58,48.88,80.87,88.5,100.42,71.06,1179.93,203.95,98.36,87.57,81.94,194.9,103.8,95.89,128.13,58.34,172.18,453.6,141.1,59.98,960.81,62.12,74.61,82.02,129.94,187.05,1271.29,498.02,98.04,46.35,107.14,59.55,84.21,128.92,424.7,88.95,118.47,169.31,81.5,157.47,94.09,35.28,3532.86,425.36,47.44,106.68,101.66,234.91,232.03,57.82,628.37,99.74,78.74,61.48,83.76,121.12,61.24
