"","Gene","ES_MeanTPM","IPS_MeanTPM","ES_Log2","IPS_Log2","Log2FoldChange","ABSV_Log2"
"14066","PTPRF",109.381666666667,82.5935454545454,6.77322713973759,6.36795713676737,-0.405270002970214,0.405270002970214
"14067","TMPRSS13",0.906666666666667,1.20072727272727,-0.141355849245541,0.263908501613874,0.405264350859415,0.405264350859415
"14068","RPS6KA4",9.872,7.45442424242424,3.30334239448733,2.89809692733412,-0.405245467153216,0.405245467153216
"14069","RP13.996F3.3",8.79866666666667,6.64415151515152,3.13728491703069,2.73208497331012,-0.405199943720574,0.405199943720574
"14070","ABHD8",11.56,8.72966666666667,3.53106949272595,3.12592656708173,-0.405142925644223,0.405142925644223
"14071","OTOS",0.113,0.0853333333333333,-3.1456053222469,-3.55074678538324,-0.405141463136344,0.405141463136344
"14072","LRRC70",0.976,0.737060606060606,-0.0350469470992008,-0.440144842638664,-0.405097895539463,0.405097895539463
"14073","ESRRA",18.1596666666667,13.7152121212121,4.18266581608664,3.77770503015079,-0.404960785935858,0.404960785935858
"14074","CIAPIN1",86.4806666666667,65.3203636363636,6.43430573952545,6.02946091724622,-0.404844822279231,0.404844822279231
"14075","ANKRD53",0.499,0.376909090909091,-1.00288827932483,-1.40771150218997,-0.404823222865143,0.404823222865143
"14076","FGF20",0.497333333333333,0.37569696969697,-1.00771496512801,-1.41235861537503,-0.404643650247028,0.404643650247028
"14077","PALM2",1.13733333333333,0.859212121212121,0.185655145935047,-0.21891374880651,-0.404568894741557,0.404568894741557
"14078","ARPC5L",58.0283333333333,43.8382727272727,5.85868558786161,5.45411905064726,-0.404566537214342,0.404566537214342
"14079","RSBN1L",14.0403333333333,18.5847878787879,3.81150528214226,4.21605031669116,0.404545034548907,0.404545034548907
"14080","CES2",11.109,8.39257575757576,3.4736570502307,3.06911365481059,-0.404543395420109,0.404543395420109
"14081","LRTOMT",7.545,9.98660606060606,2.91552090075196,3.31999446265629,0.40447356190433,0.40447356190433
"14082","RNF19A",13.3076666666667,10.0543939393939,3.73418572973372,3.32975421611464,-0.404431513619083,0.404431513619083
"14083","PRPF38A",60.7713333333333,45.9180303030303,5.92531904009082,5.52098885247158,-0.404330187619241,0.404330187619241
"14084","EFR3B",4.95733333333333,3.74578787878788,2.30956426953624,1.90526920313524,-0.404295066400996,0.404295066400996
"14085","RNF26",66.5593333333333,50.294,6.05656907822348,5.65231439379373,-0.404254684429747,0.404254684429747
"14086","RAI14",84.0786666666667,63.5348181818182,6.39366788587347,5.98947552538191,-0.40419236049156,0.40419236049156
"14087","MTHFS",38.1413333333333,28.8240909090909,5.2532833727217,4.84920320192734,-0.404080170794365,0.404080170794365
"14088","PARP1",413.591333333333,312.566151515152,8.69206214455711,8.28801774391123,-0.404044400645887,0.404044400645887
"14089","RBBP4",252.13,333.618787878788,7.97802397903905,8.38205672680767,0.404032747768613,0.404032747768613
"14090","C2",1.02033333333333,1.3500303030303,0.0290405441437483,0.432991790639726,0.403951246495978,0.403951246495978
"14091","ZNF557",2.36833333333333,3.13357575757576,1.2438721487469,1.6478098722574,0.403937723510499,0.403937723510499
"14092","DENND1A",14.1493333333333,18.7205151515152,3.82266217484545,4.22654823046628,0.403886055620831,0.403886055620831
"14093","MIER2",24.732,18.6931212121212,4.62830700559833,4.22443557254699,-0.403871433051332,0.403871433051332
"14094","RNF215",14.1143333333333,10.6688484848485,3.81908908202368,3.41533256581552,-0.403756516208154,0.403756516208154
"14095","ZC2HC1A",10.9343333333333,14.4650909090909,3.45079335679018,3.85450348512221,0.403710128332034,0.403710128332034
"14096","IFITM1",405.242666666667,306.337060606061,8.66264226852344,8.25897610427353,-0.403666164249907,0.403666164249907
"14097","TPRG1",0.451,0.596606060606061,-1.14880066140671,-0.745149461562381,0.403651199844325,0.403651199844325
