,HMGA1,LIN28A,TERF1,ZFP42,ZSCAN10,HMGA2,SALL4,OTX2,ETV4,NR6A1,LIN28B,HES3,ZIC3,NANOG,ZNF93,FOXH1,MYCN,ZNF730,PRDM14,SOX11,label
230,1122.39,570.3,574.2599999999999,73.21000000000002,151.62999999999997,107.00000000000004,51.22,24.97,134.94,24.83,46.43,130.14,58.33,187.17,54.1,89.50999999999998,35.58,49.51,45.66,31.44,1
466,23.95,0.0,21.55,0.0,0.0,0.01,0.06,0.0,0.79,0.83,0.01,0.0,0.0,0.0,0.86,0.0,0.27,0.14,0.0,0.27,0
71,1598.12,819.66,611.3100000000002,112.33,154.92999999999995,82.22999999999998,61.95,18.58,168.95000000000005,33.78,69.35,92.89,69.15,221.64,55.8,111.82,43.32,42.22,40.99,29.77,1
438,7.24,0.03,24.46,0.0,0.11,0.02,0.07,0.0,0.47,1.01,0.01,0.05,0.0,0.01,1.05,0.11,0.78,0.04,0.0,0.08,0
96,1758.99,983.07,830.8900000000001,148.2,96.89,106.73,95.08,121.89,55.13,85.77000000000002,100.2,84.52,130.93,68.54,63.25,65.35,56.28,35.28,50.65,33.25,1
587,329.6,0.0,15.01,0.01,0.01,0.76,0.21,0.0,7.63,2.17,0.01,0.0,0.03,0.03,1.99,0.2,0.82,0.02,0.06,0.03,0
286,1795.38,854.66,734.35,100.57,96.74,111.68999999999998,96.38,144.23,46.27000000000001,65.67,64.94,79.05,61.36,50.37,56.43000000000001,49.46,45.83,34.35,46.15000000000001,47.63,1
210,1836.37,865.8199999999998,673.02,82.86,127.7,103.64,82.00999999999998,40.06999999999999,122.07,91.83,70.99,26.75,87.56,71.05,0.8700000000000001,66.55000000000001,52.39,34.55,28.23,26.99,1
365,64.95,0.02,16.8,0.0,0.04,0.53,0.2,0.0,0.63,0.67,0.03,0.0,0.01,0.02,2.23,0.07,0.42,0.07,0.02,0.0,0
21,1819.19,993.13,634.9100000000002,136.73000000000002,114.59999999999998,124.81000000000002,99.59,130.59,68.71000000000001,94.81,98.9,100.49,82.0,64.7,69.97,50.97,59.01,55.33000000000001,35.46,39.62,1
