,HMGA1,LIN28A,TERF1,ZFP42,ZSCAN10,HMGA2,SALL4,OTX2,ETV4,NR6A1,LIN28B,HES3,ZIC3,NANOG,ZNF93,FOXH1,MYCN,ZNF730,PRDM14,SOX11
129,1464.9199999999996,947.95,825.6,122.48,124.14,115.2,112.03,107.32,72.16,87.36,101.62,110.68,85.79,49.97,75.19,63.29,58.5,52.41,43.29,42.42
130,1787.38,949.99,773.34,135.54,124.56,114.32000000000002,101.0,99.81,77.25,110.88,85.76,97.18,138.81,76.66,70.26,65.92,56.96,51.9,40.43,32.69
131,1504.84,842.47,757.0299999999999,114.52,154.92,104.38,108.06,100.63,72.53,75.18,74.65,73.26,83.21,39.790000000000006,72.74000000000002,75.08,60.77,57.73,35.57,18.44
132,1641.37,705.11,847.1800000000002,136.37,125.55,90.97,73.95,94.15,52.58000000000001,45.38,48.18,61.45,61.9,87.76,61.28999999999999,64.39,40.34,35.8,35.03,21.58
133,1597.0400000000004,768.56,743.6500000000002,139.49,165.93,112.18000000000002,73.05,73.21,82.74000000000002,76.83,68.47,72.21,66.06,48.66,52.16,43.72,59.99,43.37000000000001,23.96,19.46
134,1436.71,727.25,381.76,101.01,126.32,102.96,70.99000000000002,45.27,99.98,97.85,84.04,36.7,79.71000000000002,96.72,59.1,54.24,26.23,47.3,16.65,17.51
135,1400.58,731.63,402.54,120.85,75.41000000000003,72.94999999999997,45.34,90.33,74.64,46.04,51.24,49.98,33.16,49.85999999999999,63.06999999999999,36.56,39.08,33.94,10.13,16.46
136,1923.64,710.9399999999998,540.71,120.68,88.73,82.47999999999998,69.47999999999999,53.11999999999999,80.16,50.45,52.88,46.33,32.5,49.77,62.08,39.46,49.69,30.6,17.59,19.05
137,1471.55,573.96,469.99,37.32,97.57,110.61,74.76,71.74,114.35,103.14,51.47,50.09,36.94,70.25,61.53,47.04,43.92,38.86,37.290000000000006,27.46
138,1690.57,889.75,846.9300000000003,122.84,116.0,101.27,95.48,113.43,55.23,61.19000000000001,86.8,99.21,70.82000000000002,71.97,71.3,63.38,61.2,39.42,65.64,31.38
139,1896.43,880.76,813.6899999999998,131.3,112.64,86.81999999999998,85.26,51.81,81.86,62.29,71.09,73.77,115.68,73.15,56.59,52.6,59.92,43.12,27.61,25.68
140,1475.63,742.29,520.46,80.56,134.91,105.29,63.78,31.83,108.15,87.2,55.55,55.93,42.17,52.67,51.4,38.44,47.2,33.16,16.1,27.33
141,1655.61,851.86,776.6400000000003,127.82,148.86,105.49,77.82000000000002,82.32,88.65,97.23,74.44,46.54,53.46,39.03,57.91,47.96,60.26,36.05,16.47,24.31
142,1462.7299999999998,928.65,616.7399999999999,132.45999999999998,125.78,112.58,108.88,99.76,72.42,87.3,101.5,94.53,64.38000000000001,77.37,62.48,61.22,55.84,42.21,33.38,41.08
143,1839.63,706.5,671.03,89.14,118.48,66.26999999999998,66.02000000000001,15.64,118.7,46.31999999999999,41.54,50.73,66.29,92.4,56.44,53.61,44.2,20.83,21.55,6.31
144,1760.35,750.33,551.0799999999998,127.22,136.87,81.30000000000003,97.15,137.77,85.9,70.72,63.73,81.1,67.58,68.7,108.42,58.64,76.39,34.370000000000005,31.4,22.77
145,1748.77,944.07,647.59,151.09,112.4,128.58,95.27,161.78,54.68,89.2,91.18,79.5,66.21,52.54,71.09,58.1,64.89,43.39,43.33,36.7
146,1738.9200000000005,766.97,443.46,85.7,156.7,116.4,78.49000000000002,119.33,78.95,80.44,59.63,85.73,69.95,40.56,57.41,56.55,63.31,38.040000000000006,22.23,32.35
