,HMGA1,LIN28A,TERF1,ZFP42,ZSCAN10,HMGA2,SALL4,OTX2,ETV4,NR6A1,LIN28B,HES3,ZIC3,NANOG,ZNF93,FOXH1,MYCN,ZNF730,PRDM14,SOX11,label
44,141.5,0.06,18.34,0.03,0.01,5.81,0.08,0.0,3.42,0.12,0.0,0.0,0.0,0.03,1.22,0.11,0.01,0.1,0.0,0.02,0
369,1524.87,834.21,677.66,112.58,122.11,120.86,86.26,64.88,91.48999999999998,97.6,82.01,59.81,71.37,43.33000000000001,66.35,53.43,58.53,51.27,25.33,27.51,1
163,1471.66,776.13,620.4399999999998,99.77,156.02,110.43,84.62,41.39,96.54,111.64,76.63,52.56,90.8,63.29999999999999,54.95,39.85,64.63,29.49,16.950000000000006,32.13,1
321,1624.05,1008.2,729.6400000000003,118.79,116.11,95.38999999999996,128.36,132.75000000000003,67.31,78.11000000000001,84.14,97.32,139.93,66.73,60.65,69.85,70.15,45.27,69.99,37.06,1
385,1420.88,735.25,606.48,62.51,136.62,123.5,72.19,25.05,133.3,73.41,82.58,61.07,106.59,141.92000000000004,57.52,74.86,41.64,42.42,33.75,32.82,1
412,1576.78,803.23,713.67,143.43,128.48999999999998,116.07,70.69999999999997,14.09,154.55,69.03,97.4,67.5,63.01,214.26,63.21000000000001,62.12000000000001,43.79,40.58000000000001,42.91,39.8,1
198,1763.16,975.44,822.8300000000003,148.72,115.76,103.33,87.48,89.75000000000001,84.44999999999997,85.63,91.0,84.3,80.1,59.07000000000001,71.42,59.22,56.68,47.08,32.129999999999995,30.46,1
172,1680.11,779.26,788.95,126.15,128.56,101.71,58.8,44.99,106.84,64.71,46.53,42.59,41.3,53.12000000000001,49.61,54.81,57.79,23.96,18.38,21.51,1
355,1738.5599999999995,886.74,598.97,114.61,103.48,119.48,114.65,180.72,39.7,80.71,84.61,83.35,88.30000000000003,39.35,59.46,55.78,56.13,44.53,44.54,54.22,1
422,1824.04,705.62,494.68,117.8,155.22000000000003,118.02,74.73,90.48,80.76,87.94999999999997,62.33,82.08,62.57,43.12,48.53,52.26,62.58,33.36,27.700000000000006,19.54,1
40,539.3,0.02,18.57,0.04,0.03,8.09,0.69,0.0,3.66,0.25,0.0,0.0,0.0,0.0,1.35,0.4,0.0,0.09,0.0,0.22,0
45,377.3,0.01,15.67,0.0,0.0,12.01,0.13,0.0,7.98,0.24,0.0,0.0,0.0,0.0,3.6,0.11,0.0,0.45,0.0,0.66,0
305,1970.92,1039.55,755.66,157.0,132.55,79.24,101.35,188.25,47.06999999999999,53.21,63.65,108.26,89.79,82.92,73.3,78.09,50.45,38.24,66.33,21.23,1
390,1676.13,784.04,485.98000000000013,127.99,163.29,73.38000000000002,65.04,22.11,109.41,72.75999999999998,35.92,19.72,18.7,78.83000000000001,61.96,57.89,43.18,19.73,16.53,16.16,1
227,998.2,790.59,698.9400000000003,83.22999999999998,131.7,80.91,74.89,127.37,57.96,42.6,39.35,106.29,110.02,43.56000000000001,56.56999999999999,72.08,76.73,37.66,18.46,29.72,1
329,1859.83,719.34,583.2299999999998,94.97,107.76,79.17,57.55,36.19,93.99,55.06,42.37,54.17,19.03,117.75,59.99,59.96,40.02,31.14,14.79,11.37,1
296,2150.39,921.21,889.8,130.03,102.52,97.03,102.15,83.17,81.17999999999998,78.22000000000001,81.89,123.22,103.34,59.71,60.34,68.59,64.72,37.51000000000001,30.95,35.01,1
293,1787.58,890.74,895.24,134.93,114.83,99.69,88.14999999999998,60.13,83.39999999999998,72.58000000000001,84.19,71.44,153.3,75.56000000000002,53.26,67.52,58.93,30.61,45.8,25.98,1
53,1088.0,0.0,19.87,0.0,0.02,28.43,0.15,0.0,17.69,0.21,0.0,0.0,0.03,0.0,3.06,0.12,0.03,0.88,0.0,4.37,0
126,1975.19,982.27,1065.65,141.85,180.23,116.83000000000004,104.33,87.10000000000002,75.62,107.84000000000002,91.72,63.48,66.74,75.12,82.97,60.79,65.78,59.79,32.74,33.38,1
268,1926.17,774.5500000000002,561.82,119.87,118.7,122.37,69.03999999999999,36.81,98.72,103.45000000000002,74.22,20.71,21.85,86.92,67.92,46.91,53.81,26.08,15.42,22.6,1
235,1400.58,731.63,402.54,120.85,75.41000000000003,72.94999999999997,45.34,90.33,74.64,46.04,51.24,49.98,33.16,49.85999999999999,63.06999999999999,36.56,39.08,33.94,10.13,16.46,1
401,1471.3100000000004,879.14,540.47,49.49,109.79,95.92,106.31,59.15000000000001,72.96000000000002,67.38,84.76,78.16,85.22,78.09,49.31999999999999,62.95,58.09,36.16,44.03,21.05,1
173,1905.81,640.39,749.72,156.47,137.19,68.57000000000001,98.7,24.8,149.31,69.48,70.48,27.73,38.790000000000006,149.86,65.65,65.85,43.43,0.52,43.42,17.02,1
50,345.6,0.0,20.4,0.03,0.03,12.21,0.07,0.0,4.8,0.14,0.0,0.0,0.0,0.0,2.23,0.23,0.0,0.37,0.0,2.75,0
328,1643.87,913.52,878.0200000000002,122.32,115.10000000000002,103.9,105.6,99.03000000000002,72.11000000000001,62.18,83.08,97.58,144.37,70.71000000000002,60.47000000000001,68.47,54.88,43.29,56.23,34.04,1
290,1824.11,576.51,449.51,104.43,137.9,114.49,63.23,39.31,102.94,80.9,49.08,14.25,21.67,79.39,23.51,29.31,56.94,24.56,23.880000000000006,17.43,1
196,1758.99,983.07,830.8900000000001,148.2,96.89,106.73,95.08,121.89,55.13,85.77000000000002,100.2,84.52,130.93,68.54,63.25,65.35,56.28,35.28,50.65,33.25,1
233,1597.0400000000004,768.56,743.6500000000002,139.49,165.93,112.18000000000002,73.05,73.21,82.74000000000002,76.83,68.47,72.21,66.06,48.66,52.16,43.72,59.99,43.37000000000001,23.96,19.46,1
334,1928.57,943.24,1158.09,134.96,155.67000000000004,97.17,105.71000000000002,33.01,120.71,80.49000000000002,79.08,61.91,127.86,72.37,64.11,67.51,61.22,39.24,41.55,23.69,1
